base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
hraniti,nahraniti,na,4029,206,,,zviždati
prljati,uprljati,u,4029,32,,,trubiti
seliti,useliti,u,4029,11,,,tvor
uzrokovati,prouzrokovati,pro,3993,137,,,poroditi
upirati,odupirati,od,3993,86,,,nizati
drmati,prodrmati,pro,3993,68,,,ćelav
magliti,zamagliti,za,3993,33,,,gaditi
liti,uliti,u,3993,27,,,vojevati
putovati,doputovati,do,3993,28,,,jadati
žaliti,sažaliti,sa,3993,7,,,gladneti
seliti,odseliti,od,3915,1090,,,titrati
moriti,zamoriti,za,3915,2251,,,mesiti
tući,utući,u,3915,296,,,venuti
viti,zaviti,za,3915,141,,,gibati
kašljati,nakašljati,na,3915,23,,,deklamovati
leteti,izleteti,iz,3915,9,,,talasati
misliti,promisliti,pro,3889,1516,,,priličiti
visiti,uzvisiti,uz,3889,375,,,grajati
liti,zaliti,za,3889,271,,,ujedati
